hex_center_x,hex_center_y,exact_bulls_fga,displayed,low_volume_gray,nearby_bulls_fga,nearby_bulls_fg_pct,nearby_nba_fga,nearby_nba_fg_pct,bulls_vs_nba_fg_pct_points,color_rated,color_band,size_cap_fga,radius_fraction
194.4444,230.0000,3,True,False,150,29.3333,4244,34.5193,-5.1860,True,below,127.0250,0.2500
194.4444,265.0000,0,False,False,15,26.6667,548,31.7518,-5.0852,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
194.4444,300.0000,0,False,False,2,50.0000,89,22.4719,27.5281,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
222.2222,-50.0000,0,False,False,77,45.4545,1234,37.8444,7.6101,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
222.2222,-15.0000,65,True,False,287,38.6760,6886,38.7598,-0.0838,True,approximately average,127.0250,0.7153
222.2222,20.0000,65,True,False,374,41.4439,10223,38.7949,2.6490,True,above,127.0250,0.7153
222.2222,55.0000,31,True,False,231,40.2597,7994,38.2412,2.0186,True,approximately average,127.0250,0.4940
222.2222,90.0000,20,True,False,137,36.4964,4988,37.3296,-0.8332,True,approximately average,127.0250,0.3968
222.2222,125.0000,29,True,False,127,34.6457,4637,35.8421,-1.1965,True,approximately average,127.0250,0.4778
222.2222,160.0000,7,True,False,146,30.8219,5250,35.7905,-4.9686,True,below,127.0250,0.2500
222.2222,195.0000,1,False,False,104,28.8462,3472,35.5127,-6.6665,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
222.2222,230.0000,0,False,False,11,18.1818,544,33.6397,-15.4579,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
222.2222,265.0000,0,False,False,0,,93,19.3548,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
222.2222,300.0000,0,False,False,0,,26,15.3846,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,-50.0000,0,False,False,58,46.5517,896,38.5045,8.0473,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,-15.0000,13,True,False,266,37.9699,6290,38.7440,-0.7741,True,approximately average,127.0250,0.3199
250.0000,20.0000,14,True,False,354,40.3955,9695,38.6488,1.7467,True,approximately average,127.0250,0.3320
250.0000,55.0000,4,True,False,203,39.4089,7108,38.2667,1.1421,True,approximately average,127.0250,0.2500
250.0000,90.0000,1,False,False,111,36.9369,3963,37.4464,-0.5094,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,125.0000,1,False,False,84,35.7143,3014,34.8042,0.9100,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,160.0000,0,False,False,44,31.8182,1619,35.3305,-3.5123,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,195.0000,0,False,False,3,0.0000,203,32.5123,-32.5123,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,230.0000,0,False,False,0,,41,17.0732,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,265.0000,0,False,False,0,,7,28.5714,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
250.0000,300.0000,0,False,False,0,,3,0.0000,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-236.1111,-32.5000,13,True,False,272,34.9265,5868,39.1956,-4.2692,True,below,127.0250,0.3199
-236.1111,2.5000,126,True,False,410,35.6098,10448,39.2898,-3.6801,True,below,127.0250,0.9960
-236.1111,37.5000,62,True,False,324,36.1111,9971,38.5418,-2.4307,True,approximately average,127.0250,0.6986
-236.1111,72.5000,25,True,False,161,31.6770,5057,37.9474,-6.2704,True,below,127.0250,0.4436
-236.1111,107.5000,17,True,False,137,32.8467,3966,36.7625,-3.9158,True,below,127.0250,0.3658
-236.1111,142.5000,4,True,False,142,30.9859,4718,36.6681,-5.6822,True,below,127.0250,0.2500
-236.1111,177.5000,0,False,False,63,28.5714,3236,36.6502,-8.0788,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-236.1111,212.5000,0,False,False,12,33.3333,634,31.8612,1.4721,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
